time,ori_rodrigues_x_1,ori_rodrigues_x_10,ori_rodrigues_x_2,ori_rodrigues_x_3,ori_rodrigues_x_4,ori_rodrigues_x_5,ori_rodrigues_x_6,ori_rodrigues_x_7,ori_rodrigues_x_8,ori_rodrigues_x_9,ori_rodrigues_y_1,ori_rodrigues_y_10,ori_rodrigues_y_2,ori_rodrigues_y_3,ori_rodrigues_y_4,ori_rodrigues_y_5,ori_rodrigues_y_6,ori_rodrigues_y_7,ori_rodrigues_y_8,ori_rodrigues_y_9,ori_rodrigues_z_1,ori_rodrigues_z_10,ori_rodrigues_z_2,ori_rodrigues_z_3,ori_rodrigues_z_4,ori_rodrigues_z_5,ori_rodrigues_z_6,ori_rodrigues_z_7,ori_rodrigues_z_8,ori_rodrigues_z_9
0.13456,0.13195029362816,-0.042265660184589,-0.081831772742483,-0.031869244491656,0.10741044453938,0.084160853173452,0.33139996946052,-0.39433101739284,-0.86561005382409,0.58650071277447,0.21120952421569,-0.65367100987548,0.20947577409733,0.48190775616861,-0.089369277651247,-0.062572029845197,0.52350356157754,-0.012261014209921,-0.078187190837458,0.35967961872351,0.10674996483792,-0.6314357467121,-0.26953168139549,-0.036498615547295,0.56170746125837,0.31387429378865,-0.58528603754886,-0.0006506822704251,0.24448047958699,-0.51105493740761
0.13712,0.13192894275527,-0.042092073852151,-0.08179641262544,-0.031906453284605,0.1073629072714,0.084217047259863,0.33132623845729,-0.39431763601076,-0.86545286912296,0.58643569771296,0.21122633746089,-0.65358904330052,0.20950999767186,0.48184531000098,-0.089416832554392,-0.062555920367792,0.52357083434425,-0.012298185287626,-0.078233001534515,0.35977875589301,0.10681430820681,-0.63145193563163,-0.26946075032416,-0.036420680653967,0.56177429301599,0.31394263559885,-0.5852161924395,-0.0005825890890353,0.24441171954794,-0.51101897428535
0.14224,0.13188129387094,-0.041757566970032,-0.081716070958261,-0.031967341176753,0.10727750179784,0.084331932091621,0.33118821884395,-0.39429156666581,-0.865146940179,0.58630372648083,0.21125618031884,-0.65341365880383,0.2095908301088,0.48171391260469,-0.089508525306708,-0.062523393802317,0.52369572944627,-0.012373138775522,-0.078319622003403,0.35998229120689,0.1069427999733,-0.63148417914975,-0.26931190909525,-0.036260004214409,0.56191179562821,0.3140821151907,-0.58508217216643,-0.0004450442931549,0.24427406099666,-0.51095522791062
0.15248,0.13177026777748,-0.041141249070734,-0.08154506433552,-0.032053385060871,0.10712223409934,0.084556122705834,0.33093177343316,-0.39425036058938,-0.86456473770622,0.58604644957584,0.21130204162059,-0.65306288282637,0.20977728075327,0.48144282180551,-0.089678423320429,-0.062455117679748,0.52390926246261,-0.012519542084186,-0.078467615355581,0.36038739785685,0.10719142450232,-0.63153931356175,-0.26901429330232,-0.035937690775676,0.56219068885674,0.31435843611742,-0.58485124344665,-0.0001758993429778,0.24400580331216,-0.51083946603153
0.17296,0.1315203962154,-0.040036970104624,-0.081200901863324,-0.032148315446029,0.10681895457135,0.084972969289346,0.33045528846047,-0.39420317716678,-0.86347112087677,0.58555637478362,0.21136861267231,-0.65239453174564,0.21018794481493,0.48091048391648,-0.089989423359069,-0.062307665778171,0.52425048572926,-0.012799193401964,-0.078702678789198,0.36117685690029,0.10766351654222,-0.63160917186469,-0.26844264514129,-0.035309555784679,0.56274824839154,0.31489652169507,-0.58449258396414,0.0003367412765509,0.24350029645565,-0.51061701992129
0.21392,0.131009642736,-0.038059516290431,-0.080528276119078,-0.03220828178868,0.10618735035501,0.085719288149268,0.32958534475191,-0.39417177354997,-0.86137166759534,0.58461133367774,0.21150715591416,-0.65112853094454,0.21105063763615,0.47992879804252,-0.090574055977748,-0.061985449884362,0.52481334838799,-0.013332272449045,-0.079072951407212,0.36269677924885,0.1085531113187,-0.63165528264535,-0.26737086850109,-0.034126672213301,0.56384935008068,0.31594460907294,-0.58394898846483,0.0013102566762992,0.24256663447906,-0.51016501160388
0.29584,0.13008084116738,-0.034381350756266,-0.079247603773572,-0.032160824932282,0.10486764359609,0.087152936505385,0.32799412636586,-0.3941020257582,-0.85719984348605,0.5827625299728,0.21184374708531,-0.64862601242754,0.21276778295391,0.47807047601256,-0.091766151449166,-0.06133993482798,0.52590732073941,-0.014398786991977,-0.079765745034092,0.36567262085354,0.11028663411746,-0.63161753526662,-0.26532037347725,-0.03180782245646,0.56600870793278,0.31805479708049,-0.58293455342352,0.0031974715543484,0.24081896393755,-0.50919339984095
0.45968,0.12850005490088,-0.027366753425516,-0.076933810291549,-0.031791322826619,0.10204109819219,0.090220258131884,0.32528495733804,-0.39366005751499,-0.84889415147362,0.57929882627976,0.21254433697584,-0.64354557402919,0.21596424641674,0.47432557537231,-0.094508475686513,-0.060223711538316,0.52849550573815,-0.016647897893869,-0.081326629683283,0.37157501054925,0.1137888855581,-0.63141742308283,-0.26130297956537,-0.026927088930903,0.57013280639725,0.32239830953153,-0.58038543481331,0.0068030344539537,0.23753447818233,-0.50692801961254
0.4629568,0.12846846517194,-0.027227186033715,-0.07688770147775,-0.031783904477572,0.10198440761956,0.090281837336702,0.32523103709174,-0.39365090566642,-0.84872885065118,0.57922932616749,0.21255833587796,-0.64344382564468,0.21602783863774,0.47425049887068,-0.094563628357131,-0.060201341072374,0.52854724480151,-0.016692938108415,-0.081357578008892,0.37169262693423,0.11385893502342,-0.63141279658233,-0.26122261323116,-0.026829650155316,0.57021515193214,0.32248532440614,-0.5803339021409,0.0068750310601134,0.2374691823668,-0.50688224856923
0.4662336,0.12843689471686,-0.027087615735954,-0.076841678089211,-0.031776509103414,0.10192770379113,0.090343428112141,0.32517714838094,-0.3936417205595,-0.84856358322897,0.57915978975517,0.2125723658575,-0.64334208435248,0.21609139428949,0.47417544402805,-0.09461883317752,-0.0601789754256,0.52859909479876,-0.016738023712495,-0.081388511019299,0.37181026060307,0.11392898948328,-0.63140801274824,-0.26114226745864,-0.026732215141437,0.5702975216853,0.32257239158809,-0.58028227041298,0.006947026161226,0.23740400925606,-0.50683640698388
0.4727872,0.12837379088976,-0.026808426800422,-0.076749854308469,-0.031761845614527,0.10181414833956,0.090466626633763,0.32506948491249,-0.39362326049397,-0.84823300700702,0.57902062617304,0.21260051699973,-0.64313858197239,0.21621840951582,0.47402546554403,-0.094729564133096,-0.060134265539686,0.52870311891888,-0.016828363591765,-0.081450365105577,0.37204569694348,0.11406910983111,-0.63139791036764,-0.26098156692313,-0.026537390877162,0.5704623982206,0.32274672489699,-0.58017867490028,0.0070910140339654,0.23727402351858,-0.50674450049053
0.4858944,0.12825101708415,-0.026255385528336,-0.076569583080702,-0.031728959484032,0.10158459864816,0.090715704847249,0.32486104424875,-0.39358300173726,-0.84757498225251,0.57874684456331,0.21265626317275,-0.6427320171239,0.21646895260573,0.47372483653854,-0.094954178665208,-0.060047107890555,0.52891433094911,-0.017009488348866,-0.081576241759996,0.37251489731485,0.11434964364823,-0.63137793351357,-0.26066173683139,-0.026145090857452,0.57078848941129,0.32309567643126,-0.5799654205908,0.0073764228208234,0.23701640504814,-0.50655803586106
0.5121088,0.12801125862738,-0.02515557478123,-0.076216907144414,-0.031658845201594,0.10112261235979,0.091220543268112,0.32445793333222,-0.39349439950794,-0.84626509513733,0.57820608672298,0.21276729939919,-0.64191824200428,0.21696187988152,0.47311957114923,-0.095412145576195,-0.059877419214103,0.52934953378387,-0.017375415423663,-0.08183370932144,0.3734527714976,0.11491256750717,-0.63133345116745,-0.26002386180277,-0.025352730494385,0.57143587838295,0.32379737620896,-0.57951880383209,0.0079430765769401,0.23650728561759,-0.50617638489855
0.5645376,0.12755564821408,-0.022985622590028,-0.075541400046706,-0.031498845787766,0.10018301204097,0.092258884376212,0.32371569891705,-0.39328388119111,-0.84366986892072,0.57715954201314,0.21298428848682,-0.64029207739733,0.21791528838985,0.47189477531386,-0.096367274709928,-0.059557050039979,0.53027640312933,-0.018119350256187,-0.082370651794504,0.37532499784013,0.11604444499484,-0.63123410205905,-0.25875567258608,-0.023736220044638,0.57270580922845,0.32521073684089,-0.57854031884494,0.0090560254890946,0.2355122775523,-0.50538115724624
0.6693952,0.12672527732144,-0.018781700274574,-0.07429757458623,-0.031102393133991,0.098241185744879,0.094434287982811,0.32252903678843,-0.39275432192911,-0.8386010077001,0.57521818427769,0.21339117995276,-0.637090229906,0.21970348034897,0.46940132540072,-0.09842739399056,-0.05897476416039,0.53237867777589,-0.019642803079675,-0.083509321396123,0.37903812704164,0.11831947283416,-0.63099678468669,-0.2562581119856,-0.020399105529373,0.57513483203251,0.32804785529552,-0.57621983847964,0.011188758290185,0.23361705762932,-0.50368076588834
0.8791104,0.12529857078545,-0.010999788759615,-0.072144410802184,-0.030012934327323,0.094197534899628,0.099025418033332,0.32159946062803,-0.39144870053267,-0.82907720076024,0.57197270125647,0.21410052444418,-0.63117121999618,0.22291648917818,0.46437614551924,-0.10300505766348,-0.057906781540907,0.53761471442411,-0.022740912379268,-0.08583961237067,0.38623889656264,0.12282086786458,-0.63040914184748,-0.25147620610553,-0.013532792029162,0.5794864137641,0.33356568617271,-0.57008627848128,0.015023600418564,0.23020920211277,-0.49998976185422
1.0,0.12453654221877,-0.0067629451255461,-0.071014231539971,-0.029300199086224,0.091885618084516,0.10172195490813,0.32158401850515,-0.39064322995883,-0.82387777972102,0.57030065592726,0.21448169977026,-0.62797492974947,0.22465565147734,0.4614944584918,-0.1057235496059,-0.057288844175846,0.54092038266833,-0.024527490347874,-0.087155551821258,0.39027815839382,0.12537764288135,-0.63002058066245,-0.24881549913507,-0.0095836750979064,0.58180597466571,0.33665481648583,-0.56605449400671,0.017074457602569,0.22840246982703,-0.49779221831471
