O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
-0.62852,-0.038139,-0.776858,0.504045,0.740713,-0.444165,0.592369,-0.670738,-0.446329,88.307032,417.540768,194.21961,64.500424,5.231774,2.033455,2.41816,-158.954949,-74.25961,-213.937307,-74.25961,-362.096642,113.580426,-213.937307,113.580426,817.967466
-0.059287,0.794978,0.603734,-0.818351,0.307638,-0.485449,-0.571653,-0.522847,0.632332,-24.200584,458.354852,407.042143,93.473096,0.893574,0.886237,3.971553,-129.810048,243.724109,125.946497,243.724109,-304.271904,-178.444856,125.946497,-178.444856,1245.244276
0.067527,0.831222,0.551824,-0.613995,-0.40133,0.679665,0.786416,-0.384713,0.483265,435.270619,514.052065,378.08668,82.524072,2.459634,1.066416,2.025765,-500.623997,203.295254,9.523414,203.295254,-230.414953,12.758248,9.523414,12.758248,1089.560797
-0.60149,0.234869,0.763575,-0.498746,0.636255,-0.588584,-0.624069,-0.734858,-0.265561,7.389527,134.801248,262.878374,82.386915,0.914098,1.839582,3.845644,-258.955516,177.08132,45.364573,177.08132,-224.058682,-117.553817,45.364573,-117.553817,1278.097475
0.278257,-0.828705,-0.485614,0.891013,0.411516,-0.191706,0.358706,-0.379344,0.852894,41.662427,155.750052,513.715239,121.450059,5.08838,0.549293,2.384151,-47.611188,21.965308,-186.330868,21.965308,-107.30261,-65.172186,-186.330868,-65.172186,1290.78558
-0.358932,0.059605,-0.931459,0.343965,0.936169,-0.072639,0.867673,-0.346461,-0.356523,1.044792,-103.780265,373.966242,99.042253,4.790215,1.93534,1.950699,-172.149499,-21.245453,-88.797665,-21.245453,-51.381887,52.717571,-88.797665,52.717571,1223.485804
-0.605842,0.744235,0.281193,-0.422846,-0.600604,0.678584,0.673911,0.292214,0.678568,287.639168,367.074789,336.61953,71.331908,2.74875,0.824985,1.161657,-449.808606,256.172733,-53.855256,256.172733,-14.23214,73.867853,-53.855256,73.867853,1102.957433
-0.083813,0.809312,0.581368,-0.777891,-0.417767,0.469422,0.622785,-0.412897,0.664571,-26.056607,452.78323,244.365551,89.047383,2.250059,0.843877,2.156246,-336.25034,219.840139,94.29465,219.840139,-245.899884,45.271038,94.29465,45.271038,1070.469524
-0.308488,0.863962,0.398001,-0.828899,-0.449415,0.333094,0.466649,-0.227147,0.854777,376.0998,87.567585,551.78611,80.292646,2.267646,0.545676,2.023799,-89.565384,295.397218,263.871623,295.397218,-80.673616,384.613729,263.871623,384.613729,1100.332343
0.506597,-0.775792,0.376174,0.61891,0.630976,0.467782,-0.600258,-0.004159,0.799795,540.18826,-64.524265,369.009139,114.3319,2.464317,0.643842,4.70546,-82.482071,87.256582,-45.791093,87.256582,-32.871969,-82.998234,-45.791093,-82.998234,1176.188607
0.283052,-0.770325,0.571385,0.182643,0.628139,0.756362,-0.941553,-0.109731,0.31849,384.949257,258.378294,277.563421,86.571779,2.49462,1.24666,4.59637,-207.687957,-66.299916,38.612628,-66.299916,-189.179784,-198.573596,38.612628,-198.573596,1287.076938
0.329826,-0.881884,0.336891,0.640879,0.471194,0.606012,-0.693173,0.016028,0.720593,558.107591,77.83939,561.725336,73.337452,2.634219,0.766139,4.735508,-420.466872,226.2104,-46.148302,226.2104,-168.903815,34.060808,-46.148302,34.060808,1273.657806
-0.746753,-0.011862,0.664995,-0.520465,0.63293,-0.573163,-0.414097,-0.774118,-0.478817,-143.05335,314.977813,286.058247,106.757005,0.859431,2.070102,3.63279,-245.783829,-21.777983,-169.482957,-21.777983,-400.30886,-42.935036,-169.482957,-42.935036,1168.580964
0.324299,-0.74877,-0.578078,0.940684,0.190852,0.280514,-0.099713,-0.63476,0.766249,347.582856,396.286302,565.844382,65.470569,4.260608,0.697813,3.297408,-130.054169,128.689341,-73.655566,128.689341,-298.026446,56.651942,-73.655566,56.651942,741.091549
0.1248,-0.288464,0.949323,-0.923564,0.315864,0.217393,-0.362567,-0.903891,-0.226995,585.794813,-107.145436,549.3245919999999,78.349757,1.795913,1.799788,3.523062,-307.13896,-6.026172,168.880152,-6.026172,-429.923479,-265.671416,168.880152,-265.671416,1235.301004
0.084552,0.001901,0.996417,-0.175565,0.984382,0.01302,-0.98083,-0.176036,0.083565,253.740403,-345.517656,541.152344,81.076046,1.583863,1.487133,4.534803,-711.926532,-51.27112,-1.359852,-51.27112,-526.705081,75.580919,-1.359852,75.580919,1475.604846
0.387856,-0.676229,0.626325,-0.385868,0.49798,0.776609,-0.837063,-0.542891,-0.06779,139.276534,-212.258672,237.142929,75.770814,2.462909,1.638638,4.137022,-84.011241,-75.858249,232.121687,-75.858249,-318.967902,-63.696505,232.121687,-63.696505,1007.251204
-0.006982,-0.633805,0.773461,-0.671767,0.575927,0.465873,-0.74073,-0.516332,-0.429791,-168.768148,427.313492,548.848394,138.428961,2.112922,2.015057,4.10364,-91.069355,-12.814112,17.130565,-12.814112,67.717058,81.479488,17.130565,81.479488,992.849439
0.616998,0.363014,-0.698237,0.283091,0.725477,0.62733,0.734284,-0.584725,0.344852,547.379896,114.766991,261.137124,87.768229,3.980432,1.218716,2.24329,-69.834769,-8.824693,115.167334,-8.824693,-77.01679,62.591915,115.167334,62.591915,1114.265356
0.041838,-0.723121,0.689453,0.394594,0.64592,0.653516,-0.917903,0.244713,0.312363,49.282001,-65.428223,236.926051,74.876868,2.329441,1.253117,4.972929,-217.684352,-31.550899,-6.289792,-31.550899,-560.250426,-168.284843,-6.289792,-168.284843,1210.408018
0.419362,-0.658081,0.625352,-0.207372,0.601197,0.771725,-0.883817,-0.453312,0.115652,134.867782,112.866508,360.483704,80.795468,2.460584,1.454885,4.238472,-2.787696,145.264374,69.594912,145.264374,-223.574642,185.326797,69.594912,185.326797,1032.392109
-0.316208,-0.845953,-0.42939,0.743149,-0.502216,0.442165,-0.589697,-0.179284,0.787474,57.51012,-239.670637,385.369177,88.734329,3.912334,0.664097,4.417241,-454.686254,-95.718018,-55.507395,-95.718018,-233.541337,-85.97725,-55.507395,-85.97725,1201.678717
0.443655,-0.630363,-0.637034,0.794516,-0.05221,0.604995,-0.414626,-0.774543,0.47767,91.315565,-130.202289,242.956269,77.050573,3.952781,1.072795,3.633093,317.06178,17.377365,-106.543406,17.377365,-503.624612,-32.712719,-106.543406,-32.712719,1055.252025
0.372033,-0.6792,-0.632676,0.728115,0.636288,-0.254923,0.575708,-0.365821,0.731256,561.432728,174.538132,502.745115,104.950938,5.095417,0.750635,2.13686,-367.465756,199.187434,-2.328308,199.187434,-168.972441,-22.148599,-2.328308,-22.148599,1201.907838
0.193388,-0.259296,-0.946238,0.941088,0.321714,0.104176,0.277405,-0.91064,0.306236,-61.935421,-282.569336,513.149353,99.531291,4.602735,1.259559,2.845897,-133.513303,12.365497,198.111908,12.365497,-528.778398,-283.43932,198.111908,-283.43932,1740.434796
