%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,num_spots,eqv_strain,strain/error,Confidence/R
48113.0,0.104419,-0.768279,-0.631541,0.899242,-0.198305,0.389922,-0.424807,-0.608623,0.670162,504.136196,-363.736289,300.391071,3.591668,3.597691,3.597208,89.94101,90.105602,89.939294,177.330458,0.094765,0.087468,72.317313,0.849315,1285.164892,-106.266729,-108.273848,-106.266729,-1470.769636,-232.831571,-108.273848,-232.831571,835.860339,92.77299,-193.255588,-139.08885,-193.255588,-263.051048,81.697853,-139.08885,81.697853,720.912747,917.395957,1.0,4.159264,0.83637,3.750961,0.0,124.0,890.0581454944343,0.9702006409588246,0.011744283142820862
48492.0,0.238984,-0.868118,0.435038,0.413284,0.496351,0.763434,-0.878683,-0.002654,0.477399,514.74801,459.227107,366.05217700000003,3.598181,3.595016,3.597466,90.08691,90.01694,90.061809,126.995389,0.067414,0.066689,81.341033,0.985714,1021.357936,728.840681,-99.992284,728.840681,-265.778168,56.900061,-99.992284,56.900061,1035.068672,-578.320091,117.6509,-91.908151,117.6509,-174.452682,-23.985761,-91.908151,-23.985761,1058.660858,581.141052,1.0,2.623642,1.073104,4.709368,0.0,138.0,1482.8487368584401,2.551615880095217,0.012118287211818419
48464.0,-0.171748,0.359054,0.917378,-0.877956,0.366626,-0.307862,-0.446874,-0.858292,0.252267,23.60163,-248.514257,389.931394,3.59321,3.597803,3.595972,89.954929,90.085054,89.908629,105.48728,0.089741,0.069585,129.354888,1.0,780.459575,296.318676,-164.382157,296.318676,-1186.271768,210.50012,-164.382157,210.50012,1172.432213,91.988262,0.861079,-11.77943,0.861079,-147.090221,-183.811269,-11.77943,-183.811269,1123.514822,258.42195,1.0,1.247017,1.315775,3.621627,0.0,144.0,1180.366862224492,4.56759521482015,0.007730670370956528
46860.0,0.721537,-0.026847,0.691855,-0.220294,0.938418,0.266161,-0.656395,-0.344457,0.671189,-263.044078,349.453748,467.922277,3.59724,3.59589,3.59646,90.052728,90.039169,90.071474,137.078412,0.05844,0.059094,113.042062,1.0,290.587904,-765.989696,148.026863,-765.989696,417.315608,282.512419,148.026863,282.512419,784.486078,34.280268,131.326602,96.484299,131.326602,-244.272645,51.922204,96.484299,51.922204,642.07239,398.281564,1.0,1.938049,0.834984,4.229122,0.0,144.0,798.901817308331,2.0058719496951936,0.008846264676240601
47348.0,-0.494496,-0.584627,-0.643183,0.705142,0.162812,-0.690121,0.508182,-0.794797,0.331735,357.116781,429.705918,348.789244,3.594165,3.597117,3.588125,90.082056,90.081683,90.092157,186.576367,0.096391,0.083628,61.249404,0.837838,-2033.069643,-560.483585,785.475376,-560.483585,-269.822779,313.889153,785.475376,313.889153,960.559858,-422.129073,-97.673189,427.926233,-97.673189,-378.170242,-248.600732,427.926233,-248.600732,949.295389,876.687888,1.0,5.532977,1.232654,2.572716,0.0,124.0,1418.9075534219994,1.6184865478853283,0.013679120861322993
46932.0,0.826951,0.345277,-0.443775,-0.337197,0.936109,0.099988,0.449945,0.066954,0.890543,-299.203849,237.714503,383.626511,3.59397,3.595561,3.59709,89.990989,89.926078,90.033749,79.17499,0.063989,0.056157,98.305526,1.0,-656.938689,30.964072,-27.278401,30.964072,339.286566,-110.77665,-27.278401,-110.77665,984.485245,-39.792482,-22.955574,-112.944388,-22.955574,141.855523,-41.933299,-112.944388,-41.933299,887.644763,401.203994,1.0,4.490778,0.47226,1.423075,0.0,142.0,857.8753183646587,2.1382521888968498,0.010172368133201383
46989.0,0.802113,-0.467494,0.37157,-0.364376,0.10982,0.924754,-0.473122,-0.877148,-0.082256,128.957237,452.021124,321.723699,3.597924,3.596523,3.590165,89.983238,89.99506,89.979054,135.933694,0.073575,0.069583,77.309343,0.979452,340.218812,-705.551124,-234.657584,-705.551124,-978.875524,113.095533,-234.657584,113.095533,747.506437,136.993478,-174.825863,-29.18153,-174.825863,-400.695161,-94.217679,-29.18153,-94.217679,1077.617312,629.99793,1.0,2.759532,1.653145,3.636251,0.0,143.0,1307.6178646837886,2.0755907319946094,0.012669257841190036
46985.0,-0.738073,-0.600325,-0.307989,0.545524,-0.799567,0.25119,-0.397053,0.017381,0.917631,-285.03889,481.97124,322.105792,3.591342,3.596029,3.59734,90.010681,90.087099,90.090545,109.235049,0.074205,0.065936,103.515713,1.0,-1397.802138,549.708968,-190.632573,549.708968,510.905415,-127.535199,-190.632573,-127.535199,1021.085695,-169.02348,67.264523,-73.122662,67.264523,-21.833543,38.111043,-73.122662,38.111043,900.105146,305.061741,1.0,4.02822,0.408719,4.756136,0.0,140.0,1007.8833463720263,3.303866761751767,0.009660369146083165
47141.0,0.751156,-0.330388,0.571497,-0.46233,0.35465,0.812696,-0.471186,-0.874681,0.113649,118.78963,19.487096,328.038677,3.593481,3.598014,3.595015,90.011522,90.027843,89.91223,116.879418,0.067741,0.064316,85.907533,0.993056,-624.588326,294.310301,107.47612,294.310301,-36.730813,2.906804,107.47612,2.906804,1296.715405,-292.906798,160.072027,106.117194,160.072027,-139.108433,-1.129907,106.117194,-1.129907,1135.210451,545.391571,1.0,2.528714,1.456901,3.635715,0.0,143.0,1367.916155354054,2.508135857042891,0.011559591636742729
46874.0,-0.57059,-0.790464,0.222697,0.375042,-0.009569,0.926958,-0.730596,0.612434,0.301917,229.670209,-13.968625,448.989162,3.596113,3.594273,3.594895,89.975023,90.016998,90.049926,122.817762,0.061465,0.060169,81.728796,0.861111,-387.030578,-40.925866,152.884593,-40.925866,-13.116661,11.993624,152.884593,11.993624,694.807275,-612.347037,-144.696543,13.792519,-144.696543,-137.030496,84.546999,13.792519,84.546999,958.377658,632.08088,1.0,2.905816,1.264093,5.410031,0.0,124.0,1402.753396493013,2.219262504021658,0.010536200729055154
47860.0,0.258718,0.762183,0.593415,-0.723461,-0.254171,0.641873,0.640054,-0.595377,0.485651,-326.909099,-69.22719,401.99857,3.596697,3.594277,3.594708,90.074789,90.005498,89.995603,118.343911,0.055825,0.059863,84.157764,1.0,-631.910378,-311.999779,123.899564,-311.999779,544.447437,62.947095,123.899564,62.947095,493.261805,-472.544731,-264.317481,41.707406,-264.317481,193.642407,78.403729,41.707406,78.403729,854.490888,626.789137,1.0,2.395402,1.063688,2.320048,0.0,136.0,1174.3455893750274,1.8735895695254008,0.011882444975605578
