%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,Zraw,eqv_strain,strain/error,Confidence/R
45843.0,-0.143345,0.314581,0.938345,-0.769562,0.560728,-0.305546,-0.622275,-0.765913,0.161712,410.094176,-231.927437,268.126776,3.597492,3.597152,3.592584,89.980546,89.997803,89.937707,70.191563,0.047367,0.046087,122.943507,1.0,-399.841428,259.27542,-356.279937,259.27542,89.272714,295.054966,-356.279937,295.054966,1146.710951,-84.361349,36.183833,-37.305479,36.183833,59.008221,119.098066,-37.305479,119.098066,1229.34804,205.563021,1.0,1.256002,1.408371,3.823886,0.0,-131.873224,1253.2777946397375,6.09680568296249,0.008133817103492908
44415.0,0.277877,-0.865456,0.416857,-0.019047,0.428898,0.903152,-0.960428,-0.258905,0.102696,435.795447,-273.716158,543.449128,3.600566,3.587347,3.594327,89.965963,89.947277,89.989812,158.58901,0.095227,0.082541,71.35107,0.881944,-1585.19765,656.976912,-1060.509152,656.976912,-259.122814,-245.646061,-1060.509152,-245.646061,1293.080632,-353.58689,32.835763,-311.050922,32.835763,-315.472609,-34.752193,-311.050922,-34.752193,1666.244924,511.17737,1.0,2.709168,1.467919,4.449076,0.0,143.449128,2019.5216640770423,3.9507258783326855,0.012360627528080516
45773.0,0.326633,-0.563015,-0.759161,0.892813,-0.079782,0.443305,-0.310155,-0.822587,0.476608,-334.314233,435.093907,261.86566600000003,3.593882,3.594754,3.591719,90.128883,90.058594,90.036964,160.522583,0.076448,0.070655,91.350134,0.964789,-1098.411027,869.29837,-241.118566,869.29837,-634.947293,424.127833,-241.118566,424.127833,654.802478,-268.550784,70.097806,89.596376,70.097806,-112.155987,-50.518882,89.596376,-50.518882,1038.040121,465.223743,1.0,4.183861,1.074004,3.502158,0.0,-138.134334,1240.5301826378618,2.6665237991472455,0.010561440446272361
44911.0,0.320875,0.015589,0.946993,-0.250132,0.96576,0.068855,-0.913495,-0.258967,0.313788,343.354818,-354.79276,404.541632,3.598139,3.596432,3.597258,90.145954,90.013157,90.014495,161.9206,0.077067,0.073675,88.071609,0.876812,616.998039,-1204.101694,335.644687,-1204.101694,394.232271,-129.197829,335.644687,-129.197829,1102.217847,-341.91629,-196.323506,-10.24621,-196.323506,-256.134453,131.876291,-10.24621,131.876291,1262.544386,664.128337,1.0,1.643378,1.251617,4.436146,0.0,4.541632,1576.7207885908304,2.374120634143082,0.009955671412793198
45518.0,0.103009,-0.771152,-0.628263,0.898338,-0.199056,0.391619,-0.427056,-0.604733,0.672251,522.923934,-390.004805,290.428033,3.593956,3.590216,3.592444,90.196065,90.061517,90.093142,187.772492,0.102522,0.091348,74.43099,0.808219,-2463.251039,1107.258877,-472.218738,1107.258877,-145.574131,536.313789,-472.218738,536.313789,485.729357,-361.110167,247.436204,-203.332092,247.436204,-281.725574,30.418283,-203.332092,30.418283,900.234938,772.05591,1.0,4.154987,0.833552,3.756461,0.0,-109.571967,1254.9033567135918,1.625404767270795,0.01085863563013202
45855.0,0.236902,-0.867656,0.437094,0.412883,0.497166,0.763121,-0.879434,-0.000316,0.47602,532.611217,448.606743,370.725959,3.598293,3.59403,3.594112,90.094764,90.06678,90.039124,121.990253,0.061494,0.061839,78.683905,0.935714,519.518506,363.648553,-3.567689,363.648553,-1118.15459,-190.722137,-3.567689,-190.722137,1212.711803,-344.707364,228.847626,60.967935,228.847626,-182.899587,-276.776753,60.967935,-276.776753,987.034873,630.882968,1.0,2.621435,1.074673,4.71203,0.0,-29.274041,1297.5951462688145,2.0567921660373853,0.011892063567511045
44690.0,0.63974,0.728712,0.24436,-0.395118,0.039109,0.917798,0.659254,-0.683703,0.312947,512.884292,-382.726313,233.124423,3.593627,3.591906,3.591482,89.927439,89.92533,90.165502,206.721851,0.080536,0.080292,70.608346,0.84507,-1519.862352,982.38397,402.963548,982.38397,-1196.134807,-660.452699,402.963548,-660.452699,705.977503,-160.012781,-106.169606,-10.764308,-106.169606,-148.303848,-28.471841,-10.764308,-28.471841,961.988231,588.878509,1.0,2.881383,1.252502,2.374398,0.0,-166.875577,1120.283362072612,1.9024015054905186,0.011968415178568267
44841.0,0.390922,0.593691,-0.703357,-0.283516,0.804681,0.521639,0.87567,-0.004507,0.482888,-215.004823,268.754688,214.120276,3.595152,3.593161,3.594483,89.994087,89.880065,90.002469,132.185876,0.085773,0.078713,66.386643,0.821429,-801.863005,209.741517,-379.419553,209.741517,-551.361909,295.123535,-379.419553,295.123535,954.636517,-706.524466,8.45914,-190.739692,8.45914,-302.113877,-1.15433,-190.739692,-1.15433,1317.829662,587.799127,1.0,4.074259,1.066846,1.575943,0.0,-185.879724,1862.8548533153526,3.1692031643921657,0.0123734077049204
45833.0,-0.172662,0.3577,0.917735,-0.878081,0.366249,-0.307953,-0.446275,-0.859018,0.250853,41.783965,-241.338592,388.810783,3.592506,3.598831,3.596358,89.988437,90.011785,89.905405,90.067082,0.070377,0.055934,134.922111,1.0,503.110798,-283.669307,-327.413632,-283.669307,-893.960979,-104.936783,-327.413632,-104.936783,1356.01982,-70.488032,-58.874155,-158.400801,-58.874155,-61.964286,-227.682207,-158.400801,-227.682207,1389.745508,325.579268,1.0,1.247046,1.317235,3.620732,0.0,-11.189217,1476.5517638209506,4.535152907282016,0.007411683619447668
45436.0,0.172985,0.980551,-0.09271,-0.971476,0.185367,0.147898,0.162207,0.064482,0.984648,38.184502,471.666431,282.052145,3.587944,3.592416,3.600511,90.015268,89.901136,89.977048,195.196699,0.094816,0.093407,84.903587,0.951389,-599.936493,76.774576,-200.48106,76.774576,-2099.60816,-310.946869,-200.48106,-310.946869,1766.2593,-635.346022,145.49931,-53.877673,145.49931,-592.379347,91.88504,-53.877673,91.88504,1608.023689,602.31853,1.0,3.701523,0.175453,1.192424,0.0,-117.947855,2227.6782629435133,3.698505279164354,0.011205521858575892
45391.0,-0.026833,-0.693772,-0.719695,0.937932,-0.266508,0.221939,-0.345779,-0.66907,0.657862,-257.10757,358.276275,468.60047199999997,3.596122,3.596141,3.599335,90.035384,89.961159,89.966597,112.576116,0.0504,0.051537,115.615191,1.0,565.292128,-572.183047,-274.866603,-572.183047,460.284717,258.529885,-274.866603,258.529885,1026.154645,185.741795,65.059457,119.499689,65.059457,-127.80462,-14.69326,119.499689,-14.69326,983.727148,383.634869,1.0,4.413263,0.85282,3.618594,0.0,68.600472,999.6719586928458,2.605790139198337,0.008649382415499361
44530.0,0.801818,-0.467462,0.372246,-0.366132,0.108001,0.924274,-0.472266,-0.877391,-0.084556,144.497111,438.680351,325.227062,3.592536,3.597691,3.592957,89.922737,89.954908,89.871288,160.133113,0.06791,0.073229,75.989365,0.965753,-1126.693327,231.3172,-246.007373,231.3172,-717.009561,-555.08488,-246.007373,-555.08488,1551.715695,-277.038055,-88.072107,6.187312,-88.072107,-340.075769,-144.726882,6.187312,-144.726882,1338.369287,502.86894,1.0,2.758723,1.655454,3.635379,0.0,-74.772938,1654.3584426956368,3.28984017723512,0.012709054747332076
44482.0,0.828219,0.344751,-0.441814,-0.336491,0.936375,0.09988,0.448137,0.065944,0.891529,-292.531488,251.263367,395.084588,3.596104,3.595878,3.599425,89.970224,89.957832,90.041203,85.554475,0.048921,0.048949,100.519736,1.0,-2.078543,-311.730707,-169.504298,-311.730707,584.117245,60.155817,-169.504298,60.155817,1416.872412,44.105381,41.33803,-148.128515,41.33803,-0.342441,77.036068,-148.128515,77.036068,1391.987499,323.937972,1.0,4.490058,0.470086,1.424694,0.0,-4.915412,1378.7172739370903,4.256115037779796,0.009948295128829228
44433.0,-0.306718,0.601082,-0.737987,0.25197,0.798974,0.546033,0.917843,-0.018472,-0.396514,-251.179452,484.295869,323.69789000000003,3.597896,3.596433,3.594992,89.930047,90.095548,90.009047,142.063401,0.062526,0.066572,101.865425,0.985714,-600.239387,272.437126,51.631951,272.437126,648.693873,-410.780522,51.631951,-410.780522,1368.675774,-109.639463,-16.793344,-163.222937,-16.793344,-72.163735,83.4427,-163.222937,83.4427,1325.954648,341.699383,1.0,4.075386,1.978513,1.590919,0.0,-76.30211,1426.1661081783027,4.173745049397127,0.009676629729861726
